#,Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
8,  monarch butterfly  ,140,Flying near flowers,Any except rain,0,70,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,Orange,Blue,Ins4,InsectOhkabamadara,FtrInsectOhkabamadara,636,BJPKSZMZ2tkLXkWjL
7,  GREAT PURPLE EMPEROR  ,3000,Flying near flowers,Any except rain,50,5,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,Purple,Orange,Ins74,InsectOhmurasaki,FtrInsectOhmurasaki,3479,ZSre7sheZoRqsJwHQ
75,  SNAIL  ,250,On rocks/bushes,Rain only,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Green,Ins29,InsectKatatsumuri,FtrInsectKatatsumuri,611,rDNLeQnmJQGxsHpmL
24,  HONEYBEE  ,,Flying near flowers,Any except rain,0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Yellow,Blue,Ins11,InsectMitsubachi,FtrInsectMitsubachi,623,yeWiAiqDRwinvumDm
78,  SPIDER  ,600,Shaking trees (hardwood or cedar only),Any weather,0,30,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Yellow,Orange,Ins61,InsectKumo,FtrInsectKumo,619,s2u8kDoMQx7GbAJTR
22,mantis,,On flowers,Any except rain,0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins15,InsectKamakiri,FtrInsectKamakiri,607,Qko2mfz7SaESpMcCv
46,VIOLIN BEETLE,450,On tree stumps,Any except rain,0,10,NA,NA,NA,NA,All day,All day,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,Brown,Black,Ins38,InsectBaiorinmushi,FtrInsectBaiorinmushi,650,poAcys5Mr35ELp5PS
18,  rice grasshopper  ,400,On the ground,Any weather,0,20,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Yellow,Ins67,InsectInago,FtrInsectInago,605,ZxXDxrgPvXEHz24Ni
76,  pill bug  ,250,From hitting rocks,Any weather,0,50,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,Black,Blue,Ins57,InsectDangomushi,FtrInsectDangomushi,590,SGHXhcTzaNJD2z926
45,JEWEL BEETLE,2400,On tree stumps,Any except rain,20,5,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,Green,Black,Ins44,InsectTamamushi,FtrInsectTamamushi,645,TYFowxRG4ydcvotkQ
31,CICADA SHELL,10,On hardwood/cedar trees,Any weather,50,1,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins69,InsectSeminonukegara,FtrInsectSeminonukegara,641,6s3MCahAroqpjGybW
55,saw stag,2000,On trees (any kind),Any weather,0,20,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins46,InsectNokogirikuwagata,FtrInsectNokogirikuwagata,632,YQq3iSiBcBAHTWxc2
21,bell cricket,430,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins31,InsectSuzumushi,FtrInsectSuzumushi,642,d5EQqbQsip82G2CZE
56,  miyama stag  ,,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins46,InsectMiyamakuwagata,FtrInsectMiyamakuwagata,624,qRGGm6MfuP4Aqdk3M
70,  hermit crab  ,1000,Disguised on shoreline,Any weather,0,25,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Beige,Pink,Ins66,InsectYadokari,FtrInsectYadokari,651,TzbsfYgE4k2qo7fHN
27,ROBUST CICADA,300,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Blue,Ins18,InsectMinminzemi,FtrInsectMinminzemi,621,cd5ymnRmRvT4n4yjB
16,long locust,200,On the ground,Any weather,0,50,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,Green,Blue,Ins13,InsectShoryobatta,FtrInsectShoryobatta,644,Q57sgq4hQTNZAqWXj
4,  peacock butterfly  ,2500,Flying near blue/purple/black flowers,Any except rain,20,5,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Green,Blue,Ins3,InsectKarasuageha,FtrInsectKarasuageha,610,rguKzmnRkGmBMKzyE
33,DARNER DRAGONFLY,230,Flying near water,Any except rain,0,40,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins23,InsectGinyanma,FtrInsectGinyanma,595,723NiWMh4iY9RJtAM
65,horned hercules,12000,On palm trees,Any weather,100,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,Black,Ins54,InsectHerakuresuohkabuto,FtrInsectHerakuresuohkabuto,600,TqhEomNEMDZ2wcTpk
38,  pondskater  ,130,On rivers/ponds,Any weather,0,30,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins27,InsectAmenbo,FtrInsectAmenbo,587,eSBNwiuZforpxNYem
2,  yellow butterfly  ,160,Flying,Any except rain,0,60,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Blue,Ins1,InsectMonkicho,FtrInsectMonkicho,625,9d92MqgcnGao8wQjB
26,brown cicada,250,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582,gBLRZ2J2R2wwYWFCk
73,MOSQUITO,130,Flying,Any except rain,0,50,NA,NA,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 4 AM,Black,White,Ins58,InsectKa,FtrInsectKa,606,3mMZ74qpWWnoizJHh
6,paper kite butterfly,1000,Flying near flowers,Any except rain,0,20,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,White,Yellow,Ins73,InsectOhgomamadara,FtrInsectOhgomamadara,3478,hzwridDJE99rPHLrZ
50,  DUNG BEETLE  ,3000,Pushing snowballs,Any weather,0,10,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,Black,Beige,Ins40,InsectFunkorogashi,FtrInsectFunkorogashi,604,p9RhE8wLWpHtcoq5G
80,scorpion,,On the ground,Any weather,0,2,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,Black,Black,Ins63,InsectSasori,FtrInsectSasori,640,xMzHsHbjvvicZvYxg
72,  FLY  ,60,"Flying near trash (boots, tires, cans) or rotten turnips",Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins59,InsectHae,FtrInsectHae,597,xdBmuMgXJ6jGxpabK
42,man-faced stink bug,1000,On flowers,Any except rain,20,20,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Black,Orange,Ins78,InsectJinmenkamemushi,FtrInsectJinmenkamemushi,3483,zvr84Jvf4s6K23XJ5
20,  CRICKET  ,130,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,Brown,Beige,Ins30,InsectKohrogi,FtrInsectKohrogi,617,Lr7eFJzJJZpWRWekm
66,WALKING STICK,600,On trees (any kind),Any weather,20,10,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Brown,Yellow,Ins35,InsectNanafushi,FtrInsectNanafushi,630,WQjgrjYotbwH59vXG
68,BAGWORM,600,Shaking trees (hardwood or cedar only),Any weather,0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622,QvxgCm82JqHsDknY4
39,  diving beetle  ,800,On rivers/ponds,Any weather,0,10,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins28,InsectGengorou,FtrInsectGengorou,594,CBjt7itnPqEtNznrX
64,horned elephant,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beige,Black,Ins53,InsectZoukabuto,FtrInsectZoukabuto,653,M7SHXNEMf78nJD6fE
77,centipede,300,From hitting rocks,Any weather,0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628,ubStMQwHMJJcYje38
52,SCARAB BEETLE,10000,On trees (any kind),Any weather,50,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639,2HXdFD8s6BmYYMf4u
49,  blue weevil beetle  ,800,On palm trees,Any weather,0,2,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Pink,Ins80,InsectHousekizoumushi,FtrInsectHousekizoumushi,3485,qocWy6r5RXjeThdYy
63,horned atlas,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins52,InsectKohkasasuohkabuto,FtrInsectKohkasasuohkabuto,615,S93y8gxrSHFNCFmwJ
3,  TIGER BUTTERFLY  ,,Flying,Any except rain,0,40,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Green,Ins2,InsectAgehacho,FtrInsectAgehacho,583,GcSpepwg536mYnNuu
58,  rainbow stag  ,6000,On trees (any kind),Any weather,50,7,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,Brown,Black,Ins48,InsectNijiirokuwagata,FtrInsectNijiirokuwagata,631,Egfv6BDtFMeGZPmfh
17,migratory locust,600,On the ground,Any weather,20,10,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Orange,Ins14,InsectTonosamabatta,FtrInsectTonosamabatta,648,dkGagcjd7aZwFEszw
71,wharf roach,200,On beach rocks,Any weather,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591,2fp9ChfPuPdYefTK3
6,paper kite butterfly,1000,Flying near flowers,Any except rain,0,20,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,White,Yellow,Ins73,InsectOhgomamadara,FtrInsectOhgomamadara,3478,hzwridDJE99rPHLrZ
55,saw stag,2000,On trees (any kind),Any weather,0,20,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins46,InsectNokogirikuwagata,FtrInsectNokogirikuwagata,632,YQq3iSiBcBAHTWxc2
18,  rice grasshopper  ,400,On the ground,Any weather,0,20,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Yellow,Ins67,InsectInago,FtrInsectInago,605,ZxXDxrgPvXEHz24Ni
56,  miyama stag  ,,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins46,InsectMiyamakuwagata,FtrInsectMiyamakuwagata,624,qRGGm6MfuP4Aqdk3M
26,brown cicada,250,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582,gBLRZ2J2R2wwYWFCk
