Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
  RETRO STEREO  ,Black,NA,NA,NA,No,No,No,NA,6000,1500,Brown,Beige,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,Yes,Audio,No,Retro,No lighting,For sale,FtrStereoRetro_Remake_0_0,0_0,796,XrWWmDWwB6x9JvMu5
stall,White,Variation,None,Curtain,Yes,Yes,Yes,3,NFS,1440,White,White,2x1,NA,Crafting,,1.0.0,shop,party,None,None,No,Shop,Yes,Does not play music,No lighting,Not for sale,FtrFloat_Remake_5_0,5_0,3617,mmgfrksD2rww4DRWK
flower stand,Purple,Variation,NA,NA,Yes,Yes,No,4,NFS,2880,Purple,Green,1.5x1.5,NA,Crafting,,1.0.0,party,None,None,None,No,Plants,No,Does not play music,No lighting,Not for sale,FtrStandflower_Remake_4_0,4_0,7527,LuqNCPZ8dHXt77uFL
  diner sofa  ,Yellow,NA,NA,NA,No,No,No,NA,3500,875,Yellow,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,Yes,Sofa,No,Does not play music,No lighting,For sale,FtrAmeretroChairL_Remake_2_0,2_0,4141,zgWxajp5k6nBRC9pM
leaf stool,Yellow,Color,NA,NA,Yes,Yes,No,3,NFS,,Yellow,Brown,1x1,NA,Crafting,,1.0.0,child's room,fancy,tree's bounty or leaves,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrFallenleavesChairS_Remake_2_0,2_0,7390,vtWGFKZGHTHwWmZep
  digital scale  ,Red,NA,White,Design,No,No,Yes,1,930,232,Red,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_2_0,2_0,3307,xpPxzxjE4Hi4zDapv
  wedding arch  ,Garden,Design,NA,NA,No,Yes,No,7,20000,,Green,Yellow,3x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,No,Arch,No,Does not play music,No lighting,Not for sale,FtrWeddingArch_Remake_2_0,2_0,12402,ferAajPzSvgDvEofk
  MUSIC STAND  ,White,Body,NA,NA,Yes,Yes,No,2,NFS,960,White,White,1x1,NA,Crafting,,1.0.0,music,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrMusicstand_Remake_2_0,2_0,1058,BJeejyasFZSaTgRqQ
FLOOR SEAT,Black,NA,Mustard yellow,Cushion,No,No,Yes,1,,,Black,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,zen-style,child's room,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrFloorchair_Remake_3_1,3_1,3622,yceSinLhFrqjmQi6L
  shell bed  ,Brown,Shell color,NA,NA,Yes,Yes,No,7,NFS,,Brown,Brown,2x2,NA,Crafting,,1.0.0,ocean,expensive,shell,None,Yes,Bed,Yes,Does not play music,No lighting,Not for sale,FtrShellBedW_Remake_1_0,1_0,3983,rM47wpyGB9LQZ5QP3
jail bars,Silver,Body color,NA,NA,Yes,Yes,No,5,NFS,3750,Gray,Gray,2x0.5,NA,Crafting,,1.0.0,facility,horror,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,FtrScreenCage_Remake_0_0,0_0,5931,A5GnnQ6RYGH974Gto
  wooden double bed  ,Dark wood,Paint color,Blue,Bedding,Yes,Yes,Yes,6,NFS,3600,Brown,Light blue,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_3_2,3_2,7132,a5DwLfLvx5bZhjaG7
YELLOW-LEAF PILE,NA,NA,NA,NA,Yes,No,No,NA,NFS,,Yellow,Yellow,1.5x1.5,NA,Crafting,,1.0.0,garden,None,tree's bounty or leaves,None,Yes,Plants,Yes,Does not play music,No lighting,Not for sale,FtrFallenleavesYellow,NA,4270,ExnEWwupqFYTbJgg9
  monstera  ,Blue,NA,NA,NA,No,No,No,NA,1700,,Blue,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantMonstera_Remake_4_0,4_0,4129,o87GCEeBgydKktemF
    COLORFUL WHEEL    ,Items,NA,NA,NA,No,No,No,NA,2900,725,Colorful,Colorful,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,None,None,None,Yes,Toy,No,Does not play music,No lighting,For sale,FtrRoulette_Remake_4_0,4_0,1112,njtwJ2XoPgkvdfhuz
    cypress bathtub    ,Light wood,NA,NA,NA,No,No,No,NA,13000,3250,Beige,Beige,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,bathroom,None,None,None,No,Bathtub,No,Does not play music,No lighting,For sale,FtrBathHinoki_Remake_0_0,0_0,7153,RZ87yXKzNe2rnjwP4
    FROZEN SCULPTURE    ,Ice blue,Illumination,NA,NA,Yes,Yes,No,7,NFS,6600,Blue,Blue,1.5x1.5,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIceArt_Remake_1_0,1_0,3501,FuAqY2cLbKdfvBK5X
diner counter chair,Pink,NA,NA,NA,No,No,No,NA,1100,,Gray,Pink,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrAmeretroCounterchair_Remake_4_0,4_0,4138,TEbYnqkSufjwXW9Cd
    PLAIN WOODEN SHOP SIGN    ,Dark wood,NA,Warning,Flier,Yes,No,Yes,2,NFS,,Brown,Yellow,1x1,NA,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignWood_Remake_2_3,2_3,3692,HQRdgj2TMn3mMfZHi
  dj's turntable  ,Black,NA,Emblem logo,Flag,No,No,Yes,4,9300,2325,Black,Green,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,concert,None,None,Yes,Musical Instrument,No,Hi-fi,No lighting,For sale,FtrDJbooth_Remake_0_4,0_4,941,GXqxMzdK4uSSLgh2r
    RETRO GAS PUMP    ,Yellow,NA,Green with animal,Lamp,No,No,Yes,1,2700,675,Yellow,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,shop,diner,None,Yes,Vehicle,Yes,Does not play music,No lighting,For sale,FtrAmeretroGasstand_Remake_2_1,2_1,4140,dKrPjba6bzWeibyRx
  mush lamp  ,Red mushroom,Mushroom type,NA,NA,Yes,Yes,No,3,NFS,1600,Red,Beige,1x1,NA,Crafting,,1.0.0,garden,None,mush,None,Yes,Lamp,Yes,Does not play music,Fluorescent,Not for sale,FtrMushroomLamp_Remake_3_0,3_0,805,cAfehsTrveDSZ6AJ2
  kitty litter box  ,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,pet,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrPetWC_Remake_4_0,4_0,7803,ABDnqEyb59BvLYeJg
LEAF CAMPFIRE,Roasting marshmallows,Food,NA,NA,Yes,Yes,No,2,,1330,Brown,Orange,1x1,NA,Crafting,,1.0.0,garden,None,tree's bounty or leaves,None,Yes,Plants,Yes,Does not play music,No lighting,Not for sale,FtrFallenleavesfire_Remake_1_0,1_0,7788,nbty5n27sp3sJn4FM
  PAPA BEAR  ,Tweed,NA,Blue,Ribbon,No,No,Yes,3,8500,2125,Brown,Blue,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearL_Remake_5_2,5_2,1499,ajgxzLda3pYvKZ9yw
  director's chair  ,Dark brown,NA,Chic pleather,Fabric,No,No,Yes,1,1600,,Brown,Brown,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrDirectorchair_Remake_1_2,1_2,2020,7szEMtzuzPF9LFXWN
  phone box  ,Black,NA,NA,NA,No,No,No,NA,,12000,Black,Black,1x1,2400,Nook Miles Shop,,1.0.0,school,facility,None,None,Yes,Facility Decor,Yes,Does not play music,Emission,Not for sale,FtrTelephonebox_Remake_6_0,6_0,1185,e3wopZ7XmvDo3XpWq
OUTDOOR TABLE,Green,NA,Black,Table,No,No,Yes,1,2200,,Green,Black,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,outdoors,None,None,None,No,Table,Yes,Does not play music,No lighting,For sale,FtrOutdoortableM_Remake_2_1,2_1,3946,cwkwC96Roy5h76RZx
CUTE DIY TABLE,Blue,NA,NA,NA,No,No,No,NA,7000,,Blue,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Work Bench,No,Does not play music,Spotlight,For sale,FtrCuteWorkbench_Remake_4_0,4_0,3995,WgzffyCcHib4YkRTP
    LOG STOOL    ,Orange wood,Lumber type,NA,NA,Yes,Yes,No,1,,480,Orange,Beige,1x1,NA,Crafting,,1.0.0,garden,None,log,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrLogStoolS_Remake_1_0,1_0,4038,wMBLREDHeGaj8rK2A
  TREADMILL  ,Black,NA,NA,NA,No,No,No,NA,,16000,Black,Gray,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fitness,None,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrRunningmachine_Remake_0_0,0_0,290,pRiHLSLwbSHTJE5zd
  PAPA BEAR  ,Cream,NA,Yellow,Ribbon,No,No,Yes,3,8500,,Orange,Yellow,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearL_Remake_0_3,0_3,1499,iLsZGqDj4K3c5qkPK
ROCK GUITAR,Coral pink,NA,Handwritten logo,Sticker area,No,No,Yes,2,,,Pink,Light blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar1_Remake_1_5,1_5,1644,safh9vG3CzqnZznib
  portable toilet  ,Red,NA,NA,NA,No,No,No,NA,NFS,5000,Red,White,1x1,1000,Nook Miles Shop,,1.0.0,bathroom,facility,None,None,No,Toilet,Yes,Does not play music,No lighting,Not for sale,FtrWCPortable_Remake_1_0,1_0,1234,CvSB6K2EET89uMQaY
oil-barrel bathtub,Red,Barrel color,NA,NA,Yes,Yes,No,1,NFS,655,Red,Red,1x1,NA,Crafting,,1.0.0,bathroom,None,None,None,Yes,Bathtub,Yes,Does not play music,No lighting,Not for sale,FtrDrumcanbath_Remake_3_0,3_0,3819,ifTe8BgBQRHLZFAiQ
electric guitar,Cherry,NA,Handwritten logo,Sticker area,No,No,Yes,7,,,Red,Light blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_2_5,2_5,1645,Gb3Lt9tPsg8dpXjY7
  log decorative shelves  ,Orange wood,Lumber type,Bears,Mat,Yes,Yes,Yes,4,,1560,Orange,Brown,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,No,Shelf,No,Does not play music,No lighting,Not for sale,FtrLogShelf_Remake_1_3,1_3,4036,w4XLoYzr2fQdfXAyo
  DEN CHAIR  ,Green,NA,NA,NA,No,No,No,NA,,,Green,Green,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,den,None,None,den,Yes,Chair,No,Does not play music,No lighting,For sale,FtrDrawingChair_Remake_4_0,4_0,3784,x5GwXq5LzjiubcqM4
  red corner  ,NA,NA,Black,Ring curtain,No,No,Yes,3,6100,1525,White,Black,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fitness,None,None,sports ring,Yes,Sports,No,Does not play music,No lighting,For sale,FtrRingcornerRed_Remake_0_3,0_3,7151,SnBsrpHyigDnzpwmN
  ANTIQUE VANITY  ,Brown,NA,NA,NA,No,No,No,NA,31000,7750,Brown,Light blue,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,No,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7
    electric guitar    ,Cherry,NA,Cute logo,Sticker area,No,No,Yes,7,,17750,Red,Pink,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_2_7,2_7,1645,L6csvQxNJc623sW6y
frozen chair,Ice blue,Illumination,NA,NA,Yes,Yes,No,7,,,Blue,Blue,1x1,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrIceChairS_Remake_1_0,1_0,3503,E4ZvjHYQh8ntbbq6K
    drinking fountain    ,Gray,Color,NA,NA,Yes,Yes,No,4,NFS,,Gray,Gray,1x1,NA,Crafting,,1.0.0,garden,None,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrDrinkingfountain_Remake_1_0,1_0,2319,WPBvK3psRSd7LnPHA
  KITCHEN ISLAND  ,Dark brown,NA,NA,NA,No,No,No,NA,170000,42500,Brown,White,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,kitchen,expensive,None,None,No,Kitchen,No,Does not play music,No lighting,For sale,FtrKitchenIsland_Remake_4_0,4_0,998,rGNcarQcwAMmXGpAc
    log bench    ,Dark wood,Lumber type,NA,NA,Yes,Yes,No,1,NFS,600,Brown,Beige,2x1,NA,Crafting,,1.0.0,garden,None,log,None,Yes,Sofa,Yes,Does not play music,No lighting,Not for sale,FtrLogStoolL_Remake_0_0,0_0,4042,KpHAa8CESiKWtadT7
  silo  ,Aqua roof,Roof color,NA,NA,Yes,Yes,No,7,NFS,13920,Light blue,Beige,2x2,NA,Crafting,,1.0.0,garden,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,FtrSilo_Remake_4_0,4_0,7247,zRfSGAmwwFeE9GMar
  mossy garden rock  ,NA,NA,NA,NA,Yes,No,No,NA,NFS,2550,Gray,Green,1x1,NA,Crafting,,1.0.0,zen-style,garden,None,None,No,Japanese Style,Yes,Does not play music,No lighting,Not for sale,FtrGardenrockMoss,NA,12208,Mib5YvhMCH9yJKgie
  MODERN OFFICE CHAIR  ,Red,NA,NA,NA,No,No,No,NA,2200,550,Red,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,office,None,None,office,Yes,Chair,No,Does not play music,No lighting,For sale,FtrOfficeChair_Remake_3_0,3_0,832,FqPRhLddrYrW6zbHX
  WEDDING BENCH  ,Chic,Design,NA,NA,No,Yes,No,2,3500,875,Brown,Brown,2x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrWeddingChairL_Remake_1_0,1_0,12401,caQtgWN978SbmbwwE
  LOG CHAIR  ,Orange wood,Lumber type,None,Cushion,Yes,Yes,Yes,3,NFS,960,Orange,Orange,1x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaS_Remake_1_0,1_0,4039,xDuAdsB7LEf4jBBrh
  shell table  ,Yellow,Shell color,NA,NA,Yes,Yes,No,4,NFS,2280,Yellow,Yellow,2x2,NA,Crafting,,1.0.0,ocean,None,shell,None,No,Table,Yes,Does not play music,No lighting,Not for sale,FtrShellTableL_Remake_3_0,3_0,3980,vSyz5vxGYFam6MBHS
  LOG CHAIR  ,Dark wood,Lumber type,Geometric print,Cushion,Yes,Yes,Yes,3,NFS,960,Brown,Colorful,1x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaS_Remake_0_2,0_2,4039,tQfDkxG7Jdxj7pN7c
    WOODEN-BLOCK BED    ,Pastel,Block color,NA,NA,Yes,Yes,No,4,NFS,2400,Pink,Colorful,2x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrBlockBedS_Remake_3_0,3_0,1557,RZHjEax22zyRLiNA2
    wooden mini table    ,Green,Paint color,Blue,Tablecloth,Yes,Yes,Yes,2,NFS,,Green,Blue,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableMini_Remake_5_3,5_3,7133,6ZDc5t9mufnZ3S3aL
simple panel,Black,NA,Plain panel,Panel design,No,No,Yes,1,810,,Black,Gray,1x0.5,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,No,Screen,No,Does not play music,No lighting,For sale,FtrScreenSimple_Remake_1_0,1_0,5338,8KvKH9YNK8KoBLaGX
  SYSTEM KITCHEN  ,Yellow,NA,NA,NA,No,No,No,NA,130000,,Yellow,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,kitchen,expensive,None,None,No,Kitchen,No,Does not play music,No lighting,For sale,FtrKitchenSystem_Remake_3_0,3_0,3616,Cs8G82yJScLedwdQv
  ROCKING CHAIR  ,Light wood,Lumber type,NA,NA,Yes,Yes,No,2,NFS,960,Beige,Beige,1x1,NA,Crafting,,1.0.0,living room,None,None,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrRockingchair_Remake_0_0,0_0,1103,WZoiuhf5z3YxrSsrH
IRONWOOD CUPBOARD,Oak,Lumber type,NA,NA,Yes,Yes,No,7,NFS,,Orange,White,2x1,NA,Crafting,,1.0.0,kitchen,None,ironwood,None,No,Shelf,No,Does not play music,No lighting,Not for sale,FtrIronwoodCupboard_Remake_4_0,4_0,3271,pXMERdtLKTF6P87ja
    WIND TURBINE    ,Red,NA,NA,NA,No,No,No,NA,NFS,20000,White,Red,2x1,4000,Nook Miles Shop,,1.0.0,garden,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,FtrWindturbine_Remake_1_0,1_0,7379,6EcE8xCL9fpLuq3Tc
MOUNTAIN BIKE,Blue,NA,NA,NA,No,No,No,NA,5100,,Purple,Black,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fitness,garden,None,None,No,Sports,Yes,Does not play music,No lighting,For sale,FtrMountainbike_Remake_3_0,3_0,2614,smiuovJsk4NsJiwZd
    camping cot    ,Pop pattern,NA,NA,NA,No,No,No,NA,,450,Light blue,Yellow,2x1,NA,Starting items,,1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrCampbed_Remake_7_0,7_0,4081,narbLwb9zabr92qD3
  LAWN CHAIR  ,Yellow,NA,NA,NA,No,No,No,NA,760,,Colorful,White,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrVinylchair_Remake_3_0,3_0,1621,Fi2tKRJm2KW2w47XG
WOODEN DOUBLE BED,Black,Paint color,Orange,Bedding,Yes,Yes,Yes,6,NFS,3600,Black,Orange,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_4_0,4_0,7132,xcLBG9dkBoHNqCrW4
  floor lamp  ,Brown,NA,Green design,Lampshade,No,No,Yes,1,1400,350,Brown,Green,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLamp_Remake_1_5,1_5,2561,QfrSHayK8hrApaNWx
  kotatsu  ,NA,NA,Flowers,Blanket,No,No,Yes,2,,925,Brown,Pink,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,zen-style,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrKotatsu_Remake_0_1,0_1,1849,goThJb5CZjarmAs36
