Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
  gold bars  ,3,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Miscellaneous,1100,81,3DtQMaiAHW8XDdX4c
  dark lily crown  ,6,black lilies,,,,,,,,,,,NFS,,NA,All Villagers,,200,1.0.0,Headwear,3625,257,Fr3oaQMDbkQ9N9i8t
    MODELING CLAY    ,2,clay,,,,,,,,,,,,,NA,Cranky villagers,,0,1.0.0,Miscellaneous,700,574,Z7ycbJwgAh8HWaaSm
apple umbrella,7,apple,,,,,,,,,,,NFS,,NA,Big Sister villagers,,100,1.0.0,Umbrellas,1780,623,N2aQCn6hYqjw2ijPX
  traditional straw coat  ,8,clump of weeds,,,,,,,,,,,NFS,,NA,Normal villagers,,0,1.0.0,Tops,1285,604,ofx4zP9Qj2tovbm3G
    BAMBOO BENCH    ,8,bamboo piece,,,,,,,,,,,,200,NA,Normal villagers,,50,1.0.0,Housewares,2401,46,iRBcw227DDdksTz3J
  FLIMSY SHOVEL  ,5,hardwood,,,,,,,,,,,280,200,NA,Blathers; Nook's Cranny,,0,1.0.0,Tools,103,19,bPp3TpiueJDRte9wT
  shell wand  ,3,summer shell,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Summer,0,1.0.0,Tools,2890,534,ZTaYhxtmS2F575QLd
  boomerang  ,3,hardwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,481,171,rMasSCDby69z84Fai
  MOSSY GARDEN ROCK  ,15,stone,15,clump of weeds,,,,,,,,,NFS,,NA,Lazy villagers,,0,1.0.0,Housewares,807,647,Fn45YxZCtsHx5u3t2
  medium cardboard boxes  ,4,cardboard box,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2135,610,Q9uBnt9n4okWbCgvg
    SHELL TABLE    ,7,sand dollar,3,clay,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2702,178,RXY6M4BmsWFJNqHAt
  log wall-mounted clock  ,2,hardwood,1,iron nugget,,,,,,,,,,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,340,115,qAiYovJGN6oxwXWqY
PURPLE HYACINTH CROWN,6,purple hyacinths,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3622,239,aHwaJQnuBTPrrjRtM
  BIRDHOUSE  ,2,wood,5,softwood,,,,,,,,,,,NA,Tom Nook; Peppy villagers,,0,1.0.0,Housewares,435,41,cDe3r9tficCbWgmH4
    IRON WALL LAMP    ,4,iron nugget,2,clay,,,,,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Wall-mounted,930,122,b9KAgbNSetaJieTKp
bamboo hat,10,clump of weeds,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Headwear,1284,607,p6dWvgRwv6574A7md
    shell arch    ,3,sea snail,3,venus comb,3,sand dollar,3,coral,3,giant clam,3,cowrie,,,NA,Lazy villagers,,100,1.0.0,Housewares,2705,175,o6M2coQ6bLoDQsWBm
  golden shovel  ,1,shovel,1,gold nugget,,,,,,,,,NFS,200,NA,Helping Gulliver 30 times,,0,1.0.0,Tools,113,660,aEtPEYkwgj9BJ48Et
    TRADITIONAL BALANCING TOY    ,4,acorn,2,hardwood,,,,,,,,,NFS,,NA,Balloons,Only available during Fall,0,1.0.0,Miscellaneous,2905,411,8jd6NZ7MD7hJjAgbw
  orange end table  ,10,orange,4,wood,,,,,,,,,NFS,,NA,Lazy villagers,,100,1.0.0,Housewares,1300,185,XsnyjhPAFhghBQj7r
  barrel  ,5,wood,2,iron nugget,,,,,,,,,,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,431,165,QBxsHQZ8DpGYE7d8S
  raccoon figurine  ,6,clay,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,705,520,c3iADXgcRcQv3cTF3
  iron garden bench  ,8,iron nugget,,,,,,,,,,,,200,NA,Big Sister villagers,,0,1.0.0,Housewares,902,63,oDze7K3AbxFpni27M
    illuminated reindeer    ,6,gold ornament,5,iron nugget,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3409,392,PWkTWdSn5n9DncHBJ
IRONWOOD DRESSER,7,wood,4,iron nugget,,,,,,,,,,,NA,Snooty villagers,,0,1.0.0,Housewares,1002,86,zHZA38BSSukQPvfAx
    OUTDOOR PICNIC SET    ,10,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons; Isabelle,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2603,422,uG5LkajvrX63DoMwC
    pansy crown    ,2,red pansies,2,yellow pansies,2,white pansies,,,,,,,,200,NA,All Villagers,,0,1.0.0,Headwear,3617,246,X8taQdT4nzX6wvY3S
  wave breaker  ,10,stone,10,clay,,,,,,,,,NFS,200,1500,Nook Miles Exchange,,0,1.0.0,Housewares,813,55,CruEkwMoLo3LcnyG4
  DRINKING FOUNTAIN  ,8,stone,2,iron nugget,,,,,,,,,NFS,200,800,Nook Miles Exchange,,0,1.0.0,Housewares,803,77,tsTxksskAQtbvJMWB
    cool windflower wreath    ,3,blue windflowers,3,pink windflowers,3,white windflowers,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3541,441,Aer6cEdrENAWFD4TP
  lily wand  ,1,white lilies,3,star fragment,,,,,,,,,NFS,,NA,Celeste,,0,1.0.0,Tools,3677,530,sKXdSX9eDXe7mEpxG
  star pochette  ,6,star fragment,,,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Bags,2281,627,4fJpnNtzwpyCgJcNg
  SHELL LAMP  ,2,giant clam,3,clay,,,,,,,,,,,NA,Big Sister villagers,,0,1.0.0,Miscellaneous,2706,182,27oeQoY4DhhmPaEWS
  floral swag  ,10,clump of weeds,,,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Wall-mounted,1230,121,d2brTtEXPaFRfbcFh
    bamboo speaker    ,3,bamboo piece,1,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2411,591,59rwk7hPFaeWEX7AY
  chocolate herringbone wall  ,15,softwood,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Wallpaper,525,313,TvTxY9NBsDvQfXAJH
  BAMBOO FLOOR LAMP  ,8,bamboo piece,,,,,,,,,,,NFS,,NA,Normal villagers,,50,1.0.0,Housewares,2410,159,47AeakgHNdNvSvLRb
flimsy watering can,5,softwood,,,,,,,,,,,,200,NA,Tom Nook; Nook's Cranny,,0,1.0.0,Tools,109,20,FnnhLbn7KQdg2Xqey
  log dining table  ,15,hardwood,,,,,,,,,,,,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,333,118,TeyLyttsCPPGxsfgu
bunny day fence,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Fencing,3790,712,4Kdig9tWPTr4Xx6Kv
  brick fence  ,6,clay,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,790,99,F7bg775Kh6niY7gcZ
  STACK OF BOOKS  ,5,book,,,,,,,,,,,NFS,,NA,Lazy villagers,,100,1.0.0,Miscellaneous,2100,196,wRs5mmgErDd3guzAD
  golden toilet  ,6,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,200,1.0.0,Housewares,1106,262,LExLS6QXyLuhewyZm
  pretty tulip wreath  ,3,orange tulips,3,pink tulips,3,purple tulips,,,,,,,,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3550,361,z4k9YXZrLp9x6TXXF
  BAMBOO FLOORING  ,15,bamboo piece,,,,,,,,,,,,200,NA,Cranky villagers,,50,1.0.0,Floors,2460,485,JyK3oMGwWg46SZ7M6
  backyard lawn  ,30,clump of weeds,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Floors,1261,487,pCoJi3w8hqsWKsBvz
  TROPHY CASE  ,24,hardwood,3,gold nugget,6,iron nugget,,,,,,,,200,NA,Jock villagers,,100,1.0.0,Housewares,401,576,jtaKPkvSoNZGcDrNt
    IRON CLOSET    ,12,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,904,573,PamdzQi8BcNbAqHmL
  libra scale  ,3,star fragment,2,Libra fragment,2,gold nugget,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Miscellaneous,2306,132,td7wJhwym4yZKy6tQ
    wooden full-length mirror    ,5,wood,1,iron nugget,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,320,502,dn4EDHGArXPGhs2Mx
frozen-treat set,1,large snowflake,1,snowflake,,,,,,,,,NFS,,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Miscellaneous,3200,194,ygrBuPoB8ZKRjnXXD
pot,5,clay,,,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Miscellaneous,703,37,4kNto6azXBJEzDZvA
  tree's bounty big tree  ,5,pine cone,4,acorn,4,maple leaf,8,tree branch,4,clay,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Housewares,2908,417,WruuvjyZLeuYLkpca
  TULIP WREATH  ,3,red tulips,3,yellow tulips,3,white tulips,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3549,360,jpfWEEc78PXeP26Js
  cherry rug  ,6,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Rugs,1470,543,pMnYDcm7v9cjAdLj2
    fountain    ,1,drinking fountain,20,stone,8,iron nugget,,,,,,,NFS,200,3000,Nook Miles Exchange,,0,1.0.0,Housewares,804,599,LWAeuHiDEv25pHRQx
    STONE-EGG SHELL    ,2,stone egg,,,,,,,,,,,NFS,,NA,Collecting stone eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3763,676,bC74Ws22wnGThm6Mh
    old-fashioned washtub    ,3,softwood,,,,,,,,,,,NFS,,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,0,1.0.0,Miscellaneous,464,195,ebzFXSHFr3vGLoDSb
  mush table  ,2,flat mushroom,6,wood,,,,,,,,,NFS,,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3003,32,cECL9PSx9yNfPWNvW
    APPLE HAT    ,5,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Headwear,1781,622,5ABmQxkN3SatETcEg
  BEEKEEPER'S HIVE  ,3,wasp nest,5,wood,,,,,,,,,NFS,,NA,Jock villagers,,0,1.0.0,Housewares,2000,204,nxtm2DdtRcHzAyrZX
  large cardboard boxes  ,5,cardboard box,,,,,,,,,,,NFS,,NA,Lazy villagers,,0,1.0.0,Housewares,2136,611,6eBT8zf9Fv2GWbZRk
peach dress,8,peach,,,,,,,,,,,,200,NA,Normal villagers,,100,1.0.0,Dresses,1582,618,zmPZEvBG6yYGmeFBx
    PALM-TREE LAMP    ,4,coconut,4,wood,4,clay,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,1801,575,FcvtqX5qPrfTkDm7Z
AXE,1,flimsy axe,3,wood,1,iron nugget,,,,,,,,200,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,102,271,b3QE9sXE7w5KCXkS5
  birdcage  ,8,wood,,,,,,,,,,,NFS,,NA,Big Sister villagers,,0,1.0.0,Housewares,404,216,Dm56HseZexdC2ctda
  wooden table mirror  ,3,wood,1,iron nugget,,,,,,,,,NFS,,NA,Big Sister villagers,,0,1.0.0,Miscellaneous,321,572,7QmfhABkJayiuyPTt
  STARRY-SANDS FLOORING  ,3,summer shell,1,sandy-beach flooring,,,,,,,,,,,NA,Balloons,Only available during Summer,0,1.0.0,Floors,2861,667,eR5A2YsGKuygX85s2
  apple chair  ,10,apple,4,wood,,,,,,,,,NFS,,NA,Big Sister villagers,,100,1.0.0,Housewares,1700,189,HB55bMQf4D57ekNf4
  lunar rover  ,10,star fragment,10,iron nugget,4,old tire,,,,,,,NFS,,NA,Celeste,,0,1.0.0,Housewares,2226,373,bu2WXQC6ajuQYYejk
  RED-LEAF PILE  ,3,maple leaf,4,clump of weeds,,,,,,,,,,200,NA,Balloons; Isabelle,Only available during Maple Leaf Season,0,1.0.0,Housewares,2901,589,mLrdRGTNsXKuekHhN
  leaf-egg shell  ,2,leaf egg,,,,,,,,,,,NFS,,NA,Collecting leaf eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3766,679,9Bf5xhQJQHvW8n8Jc
  golden watering can  ,1,watering can,1,gold nugget,,,,,,,,,NFS,200,NA,5-star town evaluation,,0,1.0.0,Tools,116,659,HShnyCLB3cPL5xNTx
    BAMBOO LATTICE FENCE    ,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,2490,101,kFi2XW9eoPkAoWdS5
rocking horse,5,softwood,,,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,403,102,mYp7N7KfrH4GprNif
  IRON SHELF  ,14,iron nugget,,,,,,,,,,,NFS,,NA,Big Sister villagers,,0,1.0.0,Housewares,905,128,McdRNpxXrk9xKkK4S
  BLOSSOM-VIEWING LANTERN  ,6,cherry-blossom petal,4,hardwood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2604,427,7dxFMY3pjTmv4D3QX
  green grass skirt  ,7,clump of weeds,,,,,,,,,,,NFS,,NA,Peppy villagers,,0,1.0.0,Bottoms,1287,605,mzQREt22Mh8reP5WY
  bamboo wand  ,6,young spring bamboo,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Tools,2590,538,Z5FSewP6wM2McqRCJ
    EARTH-EGG SHOES    ,2,earth egg,,,,,,,,,,,NFS,200,NA,Collecting earth eggs,Only available during Bunny Day,0,1.1.0a,Shoes,3762,675,usLoxmkjFnPhxs9nr
  HONEYCOMB FLOORING  ,5,wasp nest,,,,,,,,,,,,200,NA,Jock villagers,,0,1.0.0,Floors,2060,472,Yq6j7ppP9e4k6GuSz
  wooden low table  ,10,wood,,,,,,,,,,,,200,NA,Smug villagers,,0,1.0.0,Housewares,314,491,xA3hY8ZZd3qm9SqmP
FLOWER STAND,1,red roses,2,pink roses,2,orange roses,2,white liles,1,yellow lilies,4,purple windflowers,NFS,,NA,Big Sister villagers,,100,1.0.0,Housewares,3508,608,faN686NpjrFkDricn
  stone tablet  ,12,stone,,,,,,,,,,,NFS,200,800,Nook Miles Exchange,,0,1.0.0,Housewares,817,651,DoFhuq2qKsiTHz6T6
  mush lamp  ,1,skinny mushroom,5,clay,,,,,,,,,NFS,,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3006,51,vTR3yJt55jtNGdprm
  galaxy flooring  ,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Floors,2260,482,e3XyJ7j4bQYXSRDBW
  STRAW FENCE  ,10,clump of weeds,3,wood,,,,,,,,,,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,1290,552,WpBzuYymcgmxSCn2m
    wooden table    ,15,wood,,,,,,,,,,,,,NA,Big Sister villagers,,0,1.0.0,Housewares,315,201,vXEY4HbrHoAoiQn9s
  TALL LANTERN  ,18,stone,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Housewares,818,653,5LkbaD7PpwzSvzERR
  bunny day festive balloons  ,1,stone egg,1,wood egg,1,water egg,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3707,704,gSFqr84aRRt85bwzj
  WINDFLOWER CROWN  ,2,red windflowers,2,orange windflowers,2,white windflowers,,,,,,,NFS,,NA,All Villagers,,0,1.0.0,Headwear,3600,240,2bHpYXqeSKyRgCsHx
  flat garden rock  ,20,stone,,,,,,,,,,,NFS,,NA,Snooty villagers,,0,1.0.0,Housewares,806,646,JFxaTW3m9gD8zWTyQ
  lucky gold cat  ,2,gold nugget,1,lucky cat,,,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Miscellaneous,1107,578,bKrB5YcmewKR5AWot
  water-egg shell  ,2,water egg,,,,,,,,,,,,200,NA,Collecting water eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3775,688,YqZedKTDWgjDWcTR4
  FRYING PAN  ,2,iron nugget,,,,,,,,,,,NFS,,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,0,1.0.0,Miscellaneous,908,199,bgMKMNGmxjKPXaDNp
  document stack  ,1,scattered papers,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Miscellaneous,2120,462,rLvnyoEj48NFgsNpX
  orange wall-mounted clock  ,10,orange,2,wood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Wall-mounted,1330,184,rJaAL5N8CQQ5dPd9y
    mini DIY workbench    ,3,wood,3,hardwood,3,softwood,2,iron nugget,,,,,,,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Housewares,301,82,sLGJoXrKyqJ4bdhxb
  STARRY GARLAND  ,10,star fragment,,,,,,,,,,,NFS,,NA,Celeste,,0,1.0.0,Wall-mounted,2231,430,9LShEjECc39Sdyxzt
  MAPLE-LEAF UMBRELLA  ,7,maple leaf,,,,,,,,,,,,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Umbrellas,2980,541,MWAN27apJPewSFHiR
CHERRY-BLOSSOM POND STONE,10,stone,3,cherry-blossom petal,,,,,,,,,NFS,,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,820,511,5kPZxufBzifksrFoK
  snowperson head  ,1,large snowflake,5,snowflake,,,,,,,,,NFS,,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Headwear,3280,637,6TuttvHpXz8cBQAqa
  BUNNY DAY TABLE  ,4,earth egg,,,,,,,,,,,,,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3701,705,9aQh9Qrq3vpQdqueu
  taurus bathtub  ,3,star fragment,2,Taurus fragment,1,gold nugget,8,stone,,,,,,200,NA,Celeste,,0,1.0.0,Housewares,2301,384,tCQiMeCmYy7QeEP2K
    WOODEN STOOL    ,4,wood,,,,,,,,,,,NFS,,NA,Peppy villagers,,0,1.0.0,Housewares,310,168,tCZg7fdKsKoJ2Ca6y
coconut wall planter,1,coconut,5,clump of weeds,,,,,,,,,NFS,,NA,Snooty villagers,,50,1.0.0,Wall-mounted,1830,405,tw8LKPHQrkMZwgAua
PEACH CHAIR,10,peach,5,wood,,,,,,,,,,200,NA,Normal villagers,,100,1.0.0,Housewares,1500,187,nCJGnLxvqbshrxxxD
  POTTED IVY  ,5,clump of weeds,5,clay,,,,,,,,,NFS,200,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Wall-mounted,1231,214,PRZpskqoyoPoT6g3c
star clock,3,star fragment,1,iron nugget,,,,,,,,,,,NA,Celeste,,0,1.0.0,Miscellaneous,2230,514,2svknEfP5LbMe6Qur
  GOLD-ARMOR SHOES  ,4,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,200,1.0.0,Shoes,1182,643,4nY6xoTSqFMjzsTLp
  sakura-wood flooring  ,5,cherry-blossom petal,10,wood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Floors,2661,649,fPZCc3qyHmip4YE4o
    MUSHROOM WREATH    ,10,tree branch,1,round mushroom,1,skinny mushroom,1,flat mushroom,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Wall-mounted,3040,221,5XfaKLorByDHGp9pi
    PAW-PRINT DOORPLATE    ,3,wood,,,,,,,,,,,NFS,,NA,Peppy villagers,,50,1.0.0,Wall-mounted,501,466,S3f74cedig2pCxFHu
    pitfall seed    ,4,clump of weeds,6,tree branch,,,,,,,,,NFS,,NA,Jock villagers,Also obtained from digging up an existing pitfall,100,1.0.0,Other,135,264,QB33ur4L2mq5CvL4X
  apple wall  ,20,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Wallpaper,1750,304,7azjirioafcXyzPHB
pond stone,10,stone,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,819,513,LqSfpSHJgQyAJDHkJ
  bamboo wall decoration  ,1,bamboo piece,,,,,,,,,,,NFS,,NA,Jock villagers,,50,1.0.0,Wall-mounted,2430,151,Xb2ywJv5tsDeSKG2H
    DARK BAMBOO RUG    ,6,bamboo piece,,,,,,,,,,,,200,NA,Cranky villagers,,50,1.0.0,Rugs,2470,672,4FRs7iQAhxjseeyWP
  INFUSED-WATER DISPENSER  ,2,apple,2,pear,2,cherry,2,orange,2,peach,2,coconut,NFS,,NA,Cranky villagers,,100,1.0.0,Miscellaneous,1901,400,t24vHrtE8fyRkzyWK
  lily crown  ,2,red lilies,2,yellow lilies,2,white lilies,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3623,255,kAqnCE6oFFAeZvYXN
    pear umbrella    ,7,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Umbrellas,1680,617,Z4yN2HWQNGM9HYBZo
brick well,8,clay,5,wood,1,flimsy shovel,,,,,,,NFS,,2000,Nook Miles Exchange,,0,1.0.0,Housewares,707,408,MZhaSK4GZ9D3jkRMw
  chic tulip crown  ,2,purple tulips,2,pink tulips,1,orange tulips,,,,,,,,200,NA,All Villagers,,100,1.0.0,Headwear,3610,244,AWo72X4YM3PnWSL2P
  steel flooring  ,7,iron nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Floors,960,489,9ey59kSpvYXFaFzLz
  mush umbrella  ,3,flat mushroom,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Umbrellas,3080,648,PT3wRG87hdFbt8kgG
  IRON HANGER STAND  ,3,iron nugget,,,,,,,,,,,,200,NA,Cranky villagers,,0,1.0.0,Housewares,906,365,sFNTL2NeXckRLskP7
  stone arch  ,90,stone,,,,,,,,,,,,200,2000,Nook Miles Exchange,,0,1.0.0,Housewares,809,652,6nZpvNEdHwxMgNtYC
  leaf-egg outfit  ,3,leaf egg,,,,,,,,,,,NFS,,NA,Collecting leaf eggs,Only available during Bunny Day,0,1.1.0a,Dresses,3767,680,iJeXo3dJrybEpPEHw
  DESTINATIONS SIGNPOST  ,4,hardwood,8,softwood,,,,,,,,,NFS,200,1500,Nook Miles Exchange,,0,1.0.0,Housewares,441,383,39ryJtTNCrokaosYW
    iron wand    ,3,iron nugget,3,star fragment,,,,,,,,,NFS,,NA,Celeste,,0,1.0.0,Tools,999,540,MYYovLTdmLov8y2hL
    TIRE TOY    ,1,old tire,,,,,,,,,,,NFS,200,NA,Fishing up an old tire,,0,1.0.0,Housewares,601,78,2bNpWkbwsHyXGCGb5
  TREE'S BOUNTY MOBILE  ,2,pine cone,3,acorn,3,tree branch,,,,,,,,,NA,Balloons,Only available during Fall,0,1.0.0,Wall-mounted,2930,414,F6WehkKZG7sSwRLBo
  bamboo-grove wall  ,7,young spring bamboo,3,bamboo shoot,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Wallpaper,2551,300,YEqTcFmBecj7pp4XX
  WATER-EGG SHOES  ,2,water egg,,,,,,,,,,,,200,NA,Collecting water eggs,Only available during Bunny Day,0,1.1.0a,Shoes,3777,690,Bg9geKwGApyACyXEx
  log bed  ,30,hardwood,,,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,338,119,kCWnjzgmGXnkRY4Ww
GARDEN ROCK,15,stone,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,805,48,gH69947Ybie3us6SB
    slingshot    ,5,hardwood,,,,,,,,,,,300,,NA,Nook's Cranny,,0,1.0.0,Tools,111,29,Bbew7NAtvtH9wLJrD
  dark wooden-mosaic wall  ,15,wood,,,,,,,,,,,,200,NA,Big Sister villagers,,0,1.0.0,Wallpaper,522,311,sEZQCkucygfgPphNu
  WOODEN-BLOCK WALL CLOCK  ,1,wooden-block toy,2,softwood,1,iron nugget,,,,,,,NFS,,NA,Peppy villagers,,50,1.0.0,Wall-mounted,359,90,g9N9eFwC48vsPWz5e
    tropical vista    ,5,summer shell,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Summer,0,1.0.0,Wallpaper,2850,666,5mypRC2jBZnq6ywTT
  decoy duck  ,4,softwood,,,,,,,,,,,NFS,,NA,Smug villagers,,0,1.0.0,Miscellaneous,466,390,Rb8PSLPkNwP7hCk8G
