#,Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
80,    scorpion    ,8000,On the ground,Any weather,0,2,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,Black,Black,Ins63,InsectSasori,FtrInsectSasori,640,xMzHsHbjvvicZvYxg
72,fly,60,"Flying near trash (boots, tires, cans) or rotten turnips",Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins59,InsectHae,FtrInsectHae,597,xdBmuMgXJ6jGxpabK
42,    MAN-FACED STINK BUG    ,,On flowers,Any except rain,20,20,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Black,Orange,Ins78,InsectJinmenkamemushi,FtrInsectJinmenkamemushi,3483,zvr84Jvf4s6K23XJ5
20,    CRICKET    ,130,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,Brown,Beige,Ins30,InsectKohrogi,FtrInsectKohrogi,617,Lr7eFJzJJZpWRWekm
66,  WALKING STICK  ,,On trees (any kind),Any weather,20,10,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Brown,Yellow,Ins35,InsectNanafushi,FtrInsectNanafushi,630,WQjgrjYotbwH59vXG
68,  bagworm  ,,Shaking trees (hardwood or cedar only),Any weather,0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622,QvxgCm82JqHsDknY4
39,  diving beetle  ,800,On rivers/ponds,Any weather,0,10,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins28,InsectGengorou,FtrInsectGengorou,594,CBjt7itnPqEtNznrX
64,    horned elephant    ,,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beige,Black,Ins53,InsectZoukabuto,FtrInsectZoukabuto,653,M7SHXNEMf78nJD6fE
77,  CENTIPEDE  ,300,From hitting rocks,Any weather,0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628,ubStMQwHMJJcYje38
52,  scarab beetle  ,,On trees (any kind),Any weather,50,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639,2HXdFD8s6BmYYMf4u
49,blue weevil beetle,800,On palm trees,Any weather,0,2,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Pink,Ins80,InsectHousekizoumushi,FtrInsectHousekizoumushi,3485,qocWy6r5RXjeThdYy
63,    HORNED ATLAS    ,,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins52,InsectKohkasasuohkabuto,FtrInsectKohkasasuohkabuto,615,S93y8gxrSHFNCFmwJ
3,tiger butterfly,240,Flying,Any except rain,0,40,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Green,Ins2,InsectAgehacho,FtrInsectAgehacho,583,GcSpepwg536mYnNuu
58,  RAINBOW STAG  ,,On trees (any kind),Any weather,50,7,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,Brown,Black,Ins48,InsectNijiirokuwagata,FtrInsectNijiirokuwagata,631,Egfv6BDtFMeGZPmfh
17,  MIGRATORY LOCUST  ,600,On the ground,Any weather,20,10,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Orange,Ins14,InsectTonosamabatta,FtrInsectTonosamabatta,648,dkGagcjd7aZwFEszw
71,  WHARF ROACH  ,200,On beach rocks,Any weather,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591,2fp9ChfPuPdYefTK3
35,  DAMSELFLY  ,500,Flying near water,Any except rain,0,60,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,Green,Blue,Ins81,InsectItotonbo,FtrInsectItotonbo,5339,pBmqsa7CyeKzyRjDT
57,    giant stag    ,10000,On trees (any kind),Any weather,50,5,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins47,InsectOhkuwagata,FtrInsectOhkuwagata,637,KhrTLzayFz23zz2kn
43,  ladybug  ,,On flowers,Any except rain,0,40,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Red,Green,Ins37,InsectTentoumushi,FtrInsectTentoumushi,647,pYSSbvXzkuFneRvQ7
28,GIANT CICADA,500,On hardwood/cedar trees,Any weather,20,50,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Yellow,Ins65,InsectKumazemi,FtrInsectKumazemi,618,nPm2r7idGshQW87MN
37,    mole cricket    ,500,Underground (dig where noise is loudest),Any weather,0,30,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,Brown,Yellow,Ins33,InsectOkera,FtrInsectOkera,634,HMWPGeeKw9LP6ucSq
74,    flea    ,70,On villagers,Any weather,0,5–10,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Brown,White,Ins56,InsectNomi,FtrInsectNomi,633,QzDywoJEAJDcjGfEF
15,    madagascan sunset moth    ,,Flying near flowers,Any except rain,20,5,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins79,InsectNishikiohtsubamega,FtrInsectNishikiohtsubamega,3484,EFWMygLqnJinFoXSW
25,  wasp  ,2500,Shaking trees,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Yellow,Orange,Ins12,InsectHachi,FtrInsectHachi,643,ZEfBHqM6pFEddBezw
12,  QUEEN ALEXANDRA'S BIRDWING  ,4000,Flying near flowers,Any except rain,50,5,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins8,InsectArekisandoratoribaneageha,FtrInsectArekisandoratoribaneageha,586,PbNXeN9GZuJuow7jv
5,  COMMON BLUEBOTTLE  ,300,Flying,Any except rain,0,70,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Black,Green,Ins72,InsectAosujiageha,FtrInsectAosujiageha,3477,vgkW2eovbpxNuGsFZ
19,    grasshopper    ,160,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Beige,Ins32,InsectKirigirisu,FtrInsectKirigirisu,613,zkzSLJPkkcwXwShKc
67,    WALKING LEAF    ,600,Disguised under trees,Any weather,20,10,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Green,Ins34,InsectKonohamushi,FtrInsectKonohamushi,616,kuZaMcg2E7ZX56nio
11,    RAJAH BROOKE'S BIRDWING    ,2500,Flying near flowers,Any except rain,20,5,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Pink,Ins7,InsectAkaeritoribaneageha,FtrInsectAkaeritoribaneageha,584,gLpHgXT4pPXP4XfWQ
48,  ROSALIA BATESI BEETLE  ,,On tree stumps,Any except rain,20,2,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,Blue,Black,Ins82,InsectRuriboshikamikiri,FtrInsectRuriboshikamikiri,3487,MSTA9vdJmGoDDADrF
41,  STINKBUG  ,120,On flowers,Any except rain,0,40,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,Green,Yellow,Ins64,InsectKamemushi,FtrInsectKamemushi,608,4u5GZ4z3CyaHhMgqj
62,  HORNED DYNASTID  ,1350,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins51,InsectKabutomushi,FtrInsectKabutomushi,612,zaG8qsKLpbTjysx7D
61,  GIRAFFE STAG  ,12000,On palm trees,Any weather,100,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins77,InsectGirafanokogirikuwagata,FtrInsectGirafanokogirikuwagata,3482,PSChjzMhGwhnsHTs4
69,    ANT    ,,On rotten turnips,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins26,InsectAri,FtrInsectAri,588,QZpmczZu4hW2a4Rpv
23,orchid mantis,2400,On white flowers,Any except rain,20,15,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,White,Pink,Ins16,InsectHanakamakiri,FtrInsectHanakamakiri,598,9b4v6nMrrThHEtNbB
9,emperor butterfly,4000,Flying near flowers,Any except rain,20,5,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,Blue,Orange,Ins5,InsectMorufuocho,FtrInsectMorufuocho,627,Lwkf7oQ3mcWYm6eEY
14,  atlas moth  ,3000,On trees (any kind),Any weather,20,5,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Orange,Yellow,Ins10,InsectYonagunisan,FtrInsectYonagunisan,652,u2GhYQJXDCQKp7AQ8
36,  firefly  ,,Flying near water,Any except rain,0,200,NA,NA,NA,NA,NA,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,Black,Blue,Ins41,InsectHotaru,FtrInsectHotaru,603,PgiwPqykwafyz5EL6
29,    walker cicada    ,,On hardwood/cedar trees,Any weather,0,40,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Pink,Ins19,InsectTsukutsukuhousi,FtrInsectTsukutsukuhousi,649,QdrL4K7seJHvd4ZZM
51,  EARTH-BORING DUNG BEETLE  ,300,On the ground,Any weather,0,30,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purple,Orange,Ins42,InsectOhsenchikogane,FtrInsectSenchikogane,614,k2fqxdYnTF8BpHB7u
32,  red dragonfly  ,,Flying near water,Any except rain,0,80,NA,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,Red,Orange,Ins22,InsectAkiakane,FtrInsectAkiakane,585,PKSHvkPphXteXHKuG
44,  tiger beetle  ,1500,On the ground,Any except rain,20,15,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,Green,Yellow,Ins70,InsectHanmyou,FtrInsectHanmyou,599,zzGvu3797KnMb4LCD
59,    CYCLOMMATUS STAG    ,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins49,InsectHosoakakuwagata,FtrInsectHosoakakuwagata,602,moBevd7J5hwpHeLcs
13,MOTH,130,Flying near light sources,Any except rain,0,25,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Beige,Yellow,Ins9,InsectGa,FtrInsectGa,592,7Kd97rqbYBuzuCHgf
52,  scarab beetle  ,,On trees (any kind),Any weather,50,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639,2HXdFD8s6BmYYMf4u
69,    ANT    ,,On rotten turnips,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins26,InsectAri,FtrInsectAri,588,QZpmczZu4hW2a4Rpv
26,BROWN CICADA,250,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582,gBLRZ2J2R2wwYWFCk
77,  CENTIPEDE  ,300,From hitting rocks,Any weather,0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628,ubStMQwHMJJcYje38
71,  WHARF ROACH  ,200,On beach rocks,Any weather,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591,2fp9ChfPuPdYefTK3
41,  STINKBUG  ,120,On flowers,Any except rain,0,40,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,Green,Yellow,Ins64,InsectKamemushi,FtrInsectKamemushi,608,4u5GZ4z3CyaHhMgqj
68,  bagworm  ,,Shaking trees (hardwood or cedar only),Any weather,0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622,QvxgCm82JqHsDknY4
51,  EARTH-BORING DUNG BEETLE  ,300,On the ground,Any weather,0,30,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purple,Orange,Ins42,InsectOhsenchikogane,FtrInsectSenchikogane,614,k2fqxdYnTF8BpHB7u
