Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
DJ's turntable,Brown,NA,Emblem logo,Flag,No,No,Yes,4,9300,2325,Orange,Green,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,concert,None,None,Yes,Musical Instrument,No,Hi-fi,No lighting,For sale,FtrDJbooth_Remake_2_4,2_4,941,3rTcLoj8ghfenGYi6
soccer goal,NA,NA,NA,NA,No,No,No,NA,NFS,20000,White,White,3x2,4000,Nook Miles Shop,,1.0.0,fitness,None,None,None,No,Sports,Yes,Does not play music,No lighting,Not for sale,FtrSoccergoal,NA,1149,wzWPLmRmjzSPdciCR
cute DIY table,Sky blue,NA,NA,NA,No,No,No,NA,7000,1750,Light blue,Blue,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Work Bench,No,Does not play music,Spotlight,For sale,FtrCuteWorkbench_Remake_1_0,1_0,3995,PSXCm8csqXToGmMse
wooden full-length mirror,Light wood,Paint color,NA,NA,Yes,Yes,No,2,NFS,1350,Yellow,Yellow,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Dresser,No,Does not play music,No lighting,Not for sale,FtrWoodenMirror_Remake_0_0,0_0,7137,r7kgrSonB53YQEstf
log decorative shelves,Orange wood,Lumber type,Geometric print,Mat,Yes,Yes,Yes,4,NFS,1560,Orange,Colorful,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,No,Shelf,No,Does not play music,No lighting,Not for sale,FtrLogShelf_Remake_1_2,1_2,4036,fihjZvDxPsh3iwYSa
log round table,White wood,Lumber type,Southwestern flair,Tablecloth,Yes,Yes,Yes,4,NFS,1800,Beige,Colorful,2x2,NA,Crafting,,1.0.0,garden,living room,log,None,No,Table,Yes,Does not play music,No lighting,Not for sale,FtrLogTableLRound_Remake_2_1,2_1,4043,pX8cvCtPKedH2FCTn
tire toy,Turquoise,Tire color,NA,NA,Yes,Yes,No,1,NFS,20,Green,Green,1x1,NA,Crafting,,1.0.0,garden,None,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrPlayingtire_Remake_3_0,3_0,2329,BgjJWnfFf5MAEB75e
brick oven,Black,Brick color,NA,NA,Yes,Yes,No,6,NFS,3820,Black,Gray,1.5x1.5,NA,Crafting,,1.0.0,kitchen,shop,None,None,Yes,Kitchen,Yes,Does not play music,No lighting,Not for sale,FtrStoneoven_Remake_3_0,3_0,1157,CQiD3jT6CdYfi3z7N
diner mini table,Cream,NA,NA,NA,No,No,No,NA,1600,400,Gray,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,No,Table,No,Does not play music,No lighting,For sale,FtrAmeretroTableS_Remake_5_0,5_0,4441,RAc5QG7N7mtcTdTMX
maple-leaf pond stone,NA,NA,NA,NA,Yes,No,No,NA,NFS,2700,Brown,Orange,2x1,NA,Crafting,,1.0.0,zen-style,garden,tree's bounty or leaves,None,No,Japanese Style,Yes,Does not play music,No lighting,Not for sale,FtrStonewaterbowlAutumun,NA,7408,2FGMfr2BKcY7mnHqA
wedding flower stand,Garden,Design,NA,NA,No,Yes,No,2,4000,1000,Yellow,Brown,1x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,No,Plants,No,Does not play music,No lighting,Not for sale,FtrWeddingFlower_Remake_2_0,2_0,12411,obXJFc4LwC29mNGLg
baby chair,Green,NA,Paw print,Cushion,No,No,Yes,1,1200,300,Green,Colorful,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_4,3_4,3305,3e9b2NF4sqpynsAx2
baby chair,White,NA,Train,Cushion,No,No,Yes,1,1200,300,White,Colorful,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_5_3,5_3,3305,zKcKRjhc7Wb7KNnyd
flower stand,Pink,Variation,NA,NA,Yes,Yes,No,4,NFS,2880,Pink,Green,1.5x1.5,NA,Crafting,,1.0.0,party,None,None,None,No,Plants,No,Does not play music,No lighting,Not for sale,FtrStandflower_Remake_2_0,2_0,7527,DYT97hfpZ3MJE5Y6K
bamboo stopblock,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Brown,Black,1x0.5,NA,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrBambooCarstop_Remake_2_0,2_0,3556,rcGeNM8ZcnF3y3FHX
imperial low table,Black,NA,NA,NA,No,No,No,NA,3700,925,Black,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,zen-style,None,zen,None,No,Table,No,Does not play music,No lighting,For sale,FtrOrientalTableM_Remake_3_0,3_0,3974,cc2s6L6ne6WtYLsR5
bunk bed,Red,NA,White,Bedding,No,No,Yes,2,5000,1250,Red,White,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBunkbed_Remake_3_0,3_0,8298,Hz2XkoCbzaTekDy8Z
kitty litter box,Brown,NA,NA,NA,No,No,No,NA,1100,275,Brown,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,pet,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrPetWC_Remake_5_0,5_0,7803,HDqcrLftoz3WwyYmh
kitty litter box,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,Light blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,pet,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrPetWC_Remake_6_0,6_0,7803,8KgEuwSkD9xMff8DD
writing desk,Light brown,NA,NA,NA,No,No,No,NA,7100,1775,Yellow,Yellow,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,writing,Yes,Desk,No,Does not play music,Monitor,For sale,FtrStudyDesk_Remake_1_0,1_0,3701,zj8ug6pwLT5bbjt3a
wooden stool,Light wood,Paint color,Green,Seat,Yes,Yes,Yes,2,NFS,480,Beige,Green,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrWoodenStoolS_Remake_0_4,0_4,3449,6m45MDhimPsgFQf9d
antique bed,Black,NA,NA,NA,No,No,No,NA,28000,7000,Black,White,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S
refrigerator,Blue,NA,None,Sticker area,No,No,Yes,2,5100,1275,Blue,Blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,kitchen,shop,None,None,Wardrobe,Home Appliances,No,Does not play music,No lighting,For sale,FtrRefrigerator_Remake_4_0,4_0,2713,JDx6D7Cm27B5R6JNQ
Taurus bathtub,NA,NA,NA,NA,Yes,No,No,NA,NFS,12350,White,Yellow,2x1,NA,Crafting,,1.0.0,bathroom,expensive,stars,None,No,Bathtub,No,Does not play music,No lighting,Not for sale,FtrZodiacTaurus,NA,5961,xfgKGNrzwSupQjTud
loft bed with desk,Light blue,NA,Yellow,Bedding,No,No,Yes,3,7700,1925,Light blue,Yellow,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_6_4,6_4,3621,Jzmfcqw86pcNtXk4Y
outdoor bench,White,NA,Black,Seat,No,No,Yes,1,1300,325,Gray,Black,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,outdoors,None,None,None,Yes,Sofa,Yes,Does not play music,No lighting,For sale,FtrOutdoorchairM_Remake_0_1,0_1,3947,WD45zMwfvbmxvMrs7
exercise bike,Yellow,NA,NA,NA,No,No,No,NA,4800,1200,Yellow,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fitness,None,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrExercisebike_Remake_2_0,2_0,287,ei5LirK64nubeDEAg
wooden stool,Dark wood,Paint color,Blue,Seat,Yes,Yes,Yes,2,NFS,480,Brown,Light blue,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrWoodenStoolS_Remake_3_3,3_3,3449,6a9L4JYGPbrsX2XF6
DIY workbench,Marine blue,Paint color,NA,NA,Yes,Yes,No,7,NFS,6630,Light blue,Colorful,2x1,NA,Crafting,,1.0.0,garage,None,None,None,Workbench,Work Bench,No,Does not play music,No lighting,Not for sale,FtrWorkbench_Remake_5_0,5_0,1241,aYcS5STicPHQhkPCN
ironwood bed,Walnut,Lumber type,Navy,Bedding,Yes,Yes,Yes,8,NFS,9900,Brown,Black,2x1,NA,Crafting,,1.0.0,living room,None,ironwood,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrIronwoodBedS_Remake_2_0,2_0,3200,cD9CjJCC7Zcs8K7We
chalkboard,Math,NA,NA,NA,No,No,No,NA,2600,650,Green,Gray,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,None,None,None,No,School,No,Does not play music,No lighting,For sale,FtrBlackboard_Remake_3_0,3_0,2012,atRnsthywz6gyJmHc
electric guitar,Dark red,NA,Rock logo,Sticker area,No,No,Yes,7,71000,17750,Red,Purple,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_0_3,0_3,1645,yffi7v9tcqfSQ48kv
colorful wheel,Win or lose,NA,NA,NA,No,No,No,NA,2900,725,Purple,Yellow,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,None,None,None,Yes,Toy,No,Does not play music,No lighting,For sale,FtrRoulette_Remake_2_0,2_0,1112,i48gjmGQCjTFtsffB
bunk bed,Blue,NA,Striped,Bedding,No,No,Yes,2,5000,1250,Blue,Blue,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBunkbed_Remake_4_1,4_1,8298,w3umEo6vpdHfvFaC4
vintage TV tray,Black,NA,Green,Tray,No,No,Yes,1,1200,300,Black,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrTVtray_Remake_3_0,3_0,4445,T7KdXKdhZNhXPp5M9
stadiometer,Gray,NA,NA,NA,No,No,No,NA,2100,525,Black,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,No,School,No,Does not play music,No lighting,For sale,FtrStadiometer_Remake_0_0,0_0,546,KmLzzEp4sxPnFsQt4
poolside bed,Brown,NA,Yellow,Bed mat,No,No,Yes,2,3400,850,Orange,Yellow,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,ocean,expensive,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrPoolsidebed_Remake_1_4,1_4,4102,CLGoSZmGh885M5qkh
frozen chair,Ice orange,Illumination,NA,NA,Yes,Yes,No,7,NFS,6200,Orange,Orange,1x1,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrIceChairS_Remake_4_0,4_0,3503,QYGAsZxd4Bes6CY4w
automatic washer,Blue,NA,NA,NA,No,No,No,NA,4500,1125,Blue,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_2_0,2_0,2740,vCcK4sAa2HDC2cLQG
changing room,Beige,NA,Red,Curtain,No,No,Yes,2,3700,925,Yellow,Red,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Wardrobe,Shop,No,Does not play music,No lighting,For sale,FtrFittingroom_Remake_1_5,1_5,1816,KcXaGW49HwocRBvzj
bunk bed,White,NA,Checkered,Bedding,No,No,Yes,2,5000,1250,White,Pink,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBunkbed_Remake_2_2,2_2,8298,yyT3WFXwaPnCx4xN8
shaded floor lamp,Yellow,NA,NA,NA,No,No,No,NA,1700,425,Yellow,Gray,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLampMount_Remake_0_0,0_0,4572,584LfQkaemKeexgc9
champion's pennant,Green,NA,NA,NA,No,No,No,NA,3900,975,Green,Yellow,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,None,None,None,No,School,No,Does not play music,No lighting,For sale,FtrVictoryflag_Remake_2_0,2_0,7264,yczJPkDz2CLwurp8j
digital scale,Red,NA,Floral,Design,No,No,Yes,1,930,232,Red,Red,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_2_1,2_1,3307,pwnTCwwHa9yhEB2iP
vintage TV tray,Black,NA,Black,Tray,No,No,Yes,1,1200,300,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrTVtray_Remake_3_1,3_1,4445,6jZGbuMs2XwAM8p4t
frozen arch,Ice purple,Illumination,NA,NA,Yes,Yes,No,7,NFS,9000,Purple,Purple,3x1,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Arch,Yes,Does not play music,No lighting,Not for sale,FtrIceGate_Remake_6_0,6_0,3499,PTqtWSh82xbkqGjbk
climbing wall,Pink,NA,NA,NA,No,No,No,NA,4300,1075,Pink,Colorful,2x0.5,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fitness,None,None,None,No,Sports,Yes,Does not play music,No lighting,For sale,FtrClimbingwall_Remake_1_0,1_0,4006,nq45QwfcFocFND6yP
kotatsu,NA,NA,Stripes,Blanket,No,No,Yes,2,3700,925,Brown,Colorful,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,zen-style,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrKotatsu_Remake_0_3,0_3,1849,XjaiJptva6rJCnNyc
school chair,Light brown & black,NA,NA,NA,No,No,No,NA,980,245,Orange,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,school,Yes,Chair,No,Does not play music,No lighting,For sale,FtrSchoolChairS_Remake_2_0,2_0,1308,TB8xPSJhuu7YafYsv
floor lamp,Black,NA,White,Lampshade,No,No,Yes,1,1400,350,Black,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLamp_Remake_3_0,3_0,2561,Nz2JCeXiKWFMYC76S
throwback rocket,Silver,NA,NA,NA,No,No,No,NA,5900,1475,Gray,Orange,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,space,throwback,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrBoyClosetL_Remake_0_0,0_0,4761,HEn7YMzYz5zFXYLWD
writing desk,White,NA,NA,NA,No,No,No,NA,7100,1775,White,White,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,writing,Yes,Desk,No,Does not play music,Monitor,For sale,FtrStudyDesk_Remake_3_0,3_0,3701,5njHyM5GZ22v6Levz
wooden mini table,Light wood,Paint color,Orange,Tablecloth,Yes,Yes,Yes,2,NFS,720,Beige,Orange,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableMini_Remake_0_1,0_1,7133,MiXLbYhi8QtBP9Bgk
plain sink,Gray wood & tile,Design,NA,NA,Yes,Yes,No,4,NFS,2270,Gray,Beige,1x1,NA,Crafting,,1.0.0,bathroom,None,None,None,Yes,Bathroom Things,No,Does not play music,No lighting,Not for sale,FtrWashstandBowl_Remake_4_0,4_0,3683,LZcuYKEEp6xhxK8MJ
freezer,Silver,NA,NA,NA,No,No,No,NA,3500,875,Gray,Gray,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,kitchen,shop,None,None,Wardrobe,Home Appliances,No,Does not play music,No lighting,For sale,FtrFreezer_Remake_3_0,3_0,4135,yft5YzF44oFzqmoJ4
loft bed with desk,Natural,NA,White,Bedding,No,No,Yes,3,7700,1925,Beige,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_0_0,0_0,3621,pEmEpctJ7fDvRK895
wooden low table,Pink wood,Paint color,NA,NA,Yes,Yes,No,2,NFS,1200,Pink,Pink,2x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableM_Remake_7_0,7_0,7134,MaSaqNLgbEC4Et76L
sleeping bag,Orange,NA,NA,NA,No,No,No,NA,1400,350,Orange,Gray,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_3_0,3_0,1434,u2P2EYDQWXMuK2amc
wooden double bed,Green,Paint color,Pink,Bedding,Yes,Yes,Yes,6,NFS,3600,Green,Pink,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_5_1,5_1,7132,2BPJ9Rm2ZXC952xEW
fountain,Black,Color,NA,NA,Yes,Yes,No,7,NFS,11700,Black,Black,3x3,NA,Crafting,,1.0.0,garden,facility,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrFountain_Remake_2_0,2_0,8031,mbHXRqiHygK4t5ofg
frozen bed,Ice green,Illumination,White,Bedding,Yes,Yes,Yes,8,NFS,9000,Green,White,2x2,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,Yes,Bed,Yes,Does not play music,No lighting,Not for sale,FtrIceBedW_Remake_5_1,5_1,3502,FKpQZAKraz9XksM7x
golf bag,Pink,NA,NA,NA,No,No,No,NA,54000,13500,Pink,Pink,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fitness,None,None,None,No,Sports,No,Does not play music,No lighting,For sale,FtrGolfbag_Remake_2_0,2_0,1632,pMnpibghSurQPP5GC
streetlamp,Green,NA,NA,NA,No,No,No,NA,NFS,5000,Green,Green,1x1,1000,Nook Miles Shop,,1.0.0,garden,None,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,Not for sale,FtrStreetlamp_Remake_0_0,0_0,3816,bpmjEMvqg4AriFww3
mush parasol,Ordinary mushroom,Mushroom type,NA,NA,Yes,Yes,No,2,NFS,1200,Orange,Brown,2x2,NA,Crafting,,1.0.0,garden,None,mush,None,No,Plants,Yes,Does not play music,No lighting,Not for sale,FtrMushroomParasol_Remake_0_0,0_0,3805,YoHwDYpbfA3Q7vaaE
rattan wardrobe,Gray,NA,NA,NA,No,No,No,NA,6900,1725,Blue,Blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,rattan,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrRattanClosetLR_Remake_4_0,4_0,4049,eH8JeGm6SAetXNGfm
