#,Name,Sell,Where/How,Shadow,Total Catches to Unlock,Spawn Rates,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
2,pale chub,200,River,X-Small,0,6–9,No,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Blue,1x1,No lighting,Fish1,FishOikawa,FtrFishOikawa,2216,pCn9TLap3rWiLYfnF
34,guppy,1300,River,X-Small,0,2–3,No,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Black,1x1,Fluorescent,Fish29,FishGuppi,FtrFishGuppi,2245,WtdZnARNxnWRobej2
12,soft-shelled turtle,3750,River,Large,20,4,No,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,No lighting,Fish65,FishSuppon,FtrFishSuppon,2224,izuY2f4GtEGT3BtuR
57,horse mackerel,150,Sea,Small,0,14–21,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Blue,Black,1x1,Fluorescent,Fish46,FishAji,FtrFishAji,2264,L24RYPaEcm9ZXkTui
63,squid,500,Sea,Medium,0,7–10,No,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,Beige,Black,1x1,Fluorescent,Fish52,FishIka,FtrFishIka,2270,qxHJ6BGgyQujkC28w
35,nibble fish,1500,River,X-Small,20,2,No,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,Brown,Blue,1x1,No lighting,Fish67,FishDokutaafish,FtrFishDoctor,2246,pkPKYsMiXsTWNz4L4
26,sweetfish,900,River,Medium,0,5–10,No,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,Fluorescent,Fish22,FishAyu,FtrFishAyu,2237,dWgg2bjCicuiZjXW6
31,salmon,700,River (mouth),Large,0,20,No,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish27,FishSake,FtrFishSake,2242,iwXhnZcSezNxqdNQf
39,rainbowfish,800,River,X-Small,0,2–3,No,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,Orange,Black,1x1,Fluorescent,Fish80,FishRainbowfish,FtrFishRainbowfish,4194,XJfkdS4C2MPYiscST
69,mahi-mahi,6000,Pier,X-Large,50,1,Yes,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,Yellow,Black,2x1,Fluorescent,Fish82,FishShiira,FtrFishShiira,4202,D7gY39QDo8BBNs2Ne
54,blowfish,5000,Sea,Medium,20,5,No,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,Beige,Black,1x1,Fluorescent,Fish73,FishFugu,FtrFishFugu,2262,aDsmTcByApycafxTa
47,sea butterfly,1000,Sea,X-Small,0,10–11,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,White,Black,1x1,Fluorescent,Fish37,FishKurione,FtrFishKurione,2255,kd5beizyQGeyjeM79
79,barreleye,15000,Sea,Small,100,1,No,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,Black,Black,1x1,Fluorescent,Fish84,FishDemenigisu,FtrFishDemenigisu,4204,BpqTa4zmTjv3Nm4wE
70,ocean sunfish,4000,Sea,Large w/Fin,20,1,Yes,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,Orange,2x2,No lighting,Fish60,FishManbou,FtrFishManbou,2278,6BwK6LHbjFAKzgE82
73,hammerhead shark,8000,Sea,Large w/Fin,20,1,Yes,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Black,Black,2x1,Fluorescent,Fish61,FishShumokuzame,FtrFishShumokuzame,2279,guHT5g6H7tJEyqYzf
72,saw shark,12000,Sea,Large w/Fin,50,1,No,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish74,FishNokogirizame,FtrFishNokogiri,2281,tsrT7a8cbtwZrmJTz
